fid,SITECODE,NAZEV,total_area,fsb_area,fsb_ratio,avg_year,newest,oldest,avg_year_fsb,newest_fsb,oldest_fsb
66,CZ0520508,Stárkovské bučiny,1353594.706,235907.788,0.17,2018.00,2018,2018,2018.00,2018,2018
60,CZ0514668,Vápenice - Basa,657468.695,229999.810,0.35,2014.00,2014,2014,2014.00,2014,2014
72,CZ0520604,Zdobnice - Říčka,1703239.310,220271.181,0.13,2016.13,2017,2012,2016.80,2017,2012
90,CZ0714081,Rejvíz,2555337.829,218503.364,0.09,2009.01,2010,2009,2009.00,2009,2009
89,CZ0714078,Rabštejn,4848305.089,215691.331,0.04,2022.65,2023,2008,2021.50,2023,2008
13,CZ0310057,Pohoří na Šumavě,1505340.669,209052.736,0.14,2016.00,2016,2016,2016.00,2016,2016
8,CZ0214047,Brda,214119.893,187158.027,0.87,2014.00,2014,2014,2014.00,2014,2014
65,CZ0520507,Kozínek,637280.377,168751.831,0.26,2017.69,2018,2013,2018.00,2018,2018
76,CZ0524047,Peklo,2779434.670,157878.072,0.06,2015.09,2016,2015,2015.67,2016,2015
84,CZ0614136,Chotáry,150302.387,150302.387,1.00,2010.00,2010,2010,2010.00,2010,2010
27,CZ0410021,Nadlesí,330558.369,137255.039,0.42,2010.00,2010,2010,2010.00,2010,2010
87,CZ0714075,Keprník,13788908.983,119547.563,0.01,2012.50,2013,2002,2012.34,2013,2002
77,CZ0530146,Králický Sněžník,12552397.150,89961.842,0.01,2015.32,2023,2010,2014.91,2023,2010
14,CZ0310163,Žofínský prales - Pivonické skály,3014942.263,87739.410,0.03,2016.00,2016,2016,2016.00,2016,2016
3,CZ0210056,Trokavecké louky,140649.305,80637.847,0.57,2011.58,2012,2011,2011.71,2012,2011
24,CZ0322058,Pastviště u Fínů,107144.207,79300.822,0.74,2021.59,2022,2010,2021.40,2022,2010
69,CZ0520519,Adršpašsko-teplické skály,1830642.734,75129.258,0.04,2018.00,2018,2018,2018.00,2018,2018
79,CZ0610513,Suché kopce,64164.669,62978.478,0.98,2010.00,2010,2010,2010.00,2010,2010
23,CZ0320023,Čepičná,1153502.406,55734.202,0.05,2022.00,2022,2022,2022.00,2022,2022
36,CZ0410413,Kaňon Ohře,2577845.714,49857.751,0.02,2022.97,2023,2016,2023.00,2023,2023
63,CZ0520020,Hrádeček,383783.285,45798.927,0.12,2014.00,2014,2014,2014.00,2014,2014
25,CZ0410001,Tisovec,61499.090,42991.531,0.70,2015.00,2015,2015,2015.00,2015,2015
80,CZ0610514,Doubravníček,82896.277,37071.188,0.45,2020.00,2020,2020,2020.00,2020,2020
58,CZ0510412,Jizerské smrčiny,3376897.242,36177.309,0.01,2007.07,2010,2007,2007.00,2007,2007
28,CZ0410023,Blažejský rybník,127916.933,32693.441,0.26,2015.43,2018,2015,2015.75,2018,2015
17,CZ0314044,Opolenec,104813.106,30623.475,0.29,2017.00,2017,2017,2017.00,2017,2017
57,CZ0510408,Smědava,365806.655,21553.850,0.06,2008.76,2022,2007,2010.75,2022,2007
94,CZ0810014,Pstruží potok,334976.394,20396.238,0.06,2016.00,2016,2016,2016.00,2016,2016
35,CZ0410404,Bečovské lesní rybníky,316106.234,15342.055,0.05,2014.00,2014,2014,2014.00,2014,2014
68,CZ0520518,Broumovské stěny,881789.948,15162.147,0.02,2008.23,2013,2001,2009.42,2013,2001
39,CZ0413184,Pískovna Erika,175243.756,5025.391,0.03,2023.00,2023,2023,2023.00,2023,2023
81,CZ0612135,Hodíškovský rybník,43491.040,3240.452,0.07,2015.00,2015,2015,2015.00,2015,2015
1,CZ0210047,Třemšín a Hřebence,842356.878,1189.153,0.00,2015.00,2015,2015,2015.00,2015,2015
5,CZ0212001,Březinský rybník,1037.665,1037.665,1.00,2012.00,2012,2012,2012.00,2012,2012
9,CZ0310014,Libín,1423979.061,925.066,0.00,2015.00,2015,2015,2015.00,2015,2015
11,CZ0310032,Čertova stěna-Luč,593831.727,0.000,0.00,2017.00,2017,2017,,,
30,CZ0410046,Šibeniční vrch,3011.433,0.000,0.00,2011.00,2011,2011,,,
45,CZ0420021,Kokrháč - Hasištejn,630522.066,0.000,0.00,2013.40,2014,2013,,,
55,CZ0510403,Quarré,463732.365,0.000,0.00,2023.00,2023,2023,,,
78,CZ0610401,Žákova hora,570734.419,0.000,0.00,2012.00,2012,2012,,,
85,CZ0710034,Lánský luh,303558.939,0.000,0.00,2012.00,2012,2012,,,
96,CZ0810032,Ptačí hora,1245416.977,0.000,0.00,2021.97,2022,2021,,,
33,CZ0410176,Vysoký kámen,,,,,,,,,
38,CZ0410438,Močál u Bystřiny,,,,,,,,,
62,CZ0520008,Kamenná,,,,,,,,,
